question,context,selected_answer,selected_answer_idx,is_correct,confidence,correct_answers,correct_answers_text,correct_answers_idx
Почему Солженицына перевозили спецконвоем?,"Особо важные заключённые, в основном учёные, перевозились спецконвоем. Так перевозили и Солженицына. Он назвался ядерным физиком, и после Красной Пресни его перевезли в Бутырки. Солженицын побывал на пересылке Красная Пресня в 1945 году. В тюрьмы арестованных доставляли в «воронках» — фургончиках чёрного цвета. Люди попадали на Архипелаг разными способами: в вагон-заках, на баржах, пароходах и пешими этапами. Эмигранты, крестьяне и «малые народы» перевозили красными эшелонами.","Потому, что он был особо важным заключённым и назвался ядерным физиком.",4,True,0.7468806505203247,"[{'text': 'Так перевозили особо важных заключенных.', 'idx': 0}, {'text': 'Потому, что он был особо важным заключённым и назвался ядерным физиком.', 'idx': 4}]","['Так перевозили особо важных заключенных.', 'Потому, что он был особо важным заключённым и назвался ядерным физиком.']","[0, 4]"
Как люди попадали в тюрьмы особого типа на Соловках?,"Затем появились ТОНы — тюрьмы особого назначения и этапы. Люди попадали на Архипелаг разными способами: в вагон-заках, на баржах, пароходах и пешими этапами. Особо важные заключённые, в основном учёные, перевозились спецконвоем. В тюрьмы арестованных доставляли в «воронках» — фургончиках чёрного цвета. Чаще всего такие эшелоны останав­ливались на пустом месте, посреди степи или тайги, и осуждённые сами строили лагерь. Самый первый «остров» Архипелага возник в 1923 году на месте Соловецкого монастыря. Он назвался ядерным физиком, и после Красной Пресни его перевезли в Бутырки.","Люди попадали на Архипелаг разными способами: в вагон-заках, на баржах, пароходах, пешими этапами, а также спецконвоем.",6,True,0.787877082824707,"[{'text': 'Люди попадали на Архипелаг разными способами: в вагон-заках, на баржах, пароходах, пешими этапами, а также спецконвоем.', 'idx': 6}, {'text': 'Люди попадали на Соловки с помощью вагон-заков, барж, пароходов, спецконвоев или пешком.', 'idx': 9}]","['Люди попадали на Архипелаг разными способами: в вагон-заках, на баржах, пароходах, пешими этапами, а также спецконвоем.', 'Люди попадали на Соловки с помощью вагон-заков, барж, пароходов, спецконвоев или пешком.']","[6, 9]"
Кто в ноябре подал иск в арбитраж?,"В ноябре в арбитраж поступил иск о банкротстве «Юлмарт». Сбербанк обратился в Арбитражный суд Санкт-Петербурга и Ленинградской области с иском о взыскании с компании «Юлмарт» более миллиарда рублей. Его подал некий Олег Морозов, информация о котором не раскрывается. Об этом сообщается в картотеке арбитражных дел. В сентябре сообщалось, что совладельцы «Юлмарта» Алексей Никитин и Михаил Васинкевич подали в Международный арбитраж Лондона (LCIA) иск против своих партнеров по бизнесу — основных акционеров компании Дмитрия Костыгина и Августа Мейера. 11 ноября кипрский суд арестовал счета головной компании «Юлмарта». Дата рассмотрения не назначена.",Алексей Никитин.,11,False,0.841403603553772,"[{'text': 'Олег Морозов\\Морозов Олег, информация о котором не разглашается.', 'idx': 10}]","['Олег Морозов\\Морозов Олег, информация о котором не разглашается.']",[10]
Когда было зарегистрировано обращения Сбербанка в арбитражный суд?,"Сбербанк обратился в Арбитражный суд Санкт-Петербурга и Ленинградской области с иском о взыскании с компании «Юлмарт» более миллиарда рублей. В ноябре в арбитраж поступил иск о банкротстве «Юлмарт». Об этом сообщается в картотеке арбитражных дел. В сентябре сообщалось, что совладельцы «Юлмарта» Алексей Никитин и Михаил Васинкевич подали в Международный арбитраж Лондона (LCIA) иск против своих партнеров по бизнесу — основных акционеров компании Дмитрия Костыгина и Августа Мейера. 11 ноября кипрский суд арестовал счета головной компании «Юлмарта». Заявление зарегистрировано 2 декабря. Его подал некий Олег Морозов, информация о котором не раскрывается.",2 декабря.,16,True,0.9999999403953552,"[{'text': 'Декабря второго.', 'idx': 13}, {'text': '2 декабря.', 'idx': 16}]","['Декабря второго.', '2 декабря.']","[13, 16]"
Кто начал слепнуть?,"Стала она слепнуть. Пока журнал издавался — роились рядом, а тут ни звоночка. Под это дело и разбежались все. Тут ещё Александра Фёдоровна стала слепнуть, и разбежались все, осталась только Оленька, придёт вечером, уберется, сварит что-нибудь. Или еще лежишь в постели, утром глаза откроешь и думаешь: «Это уже все или еще темно». Разошлось в основном приложение, журнал не брали. А тут все разбежались и замолкли, как воробьи в мороз.",Александра Фёдоровна.,18,True,0.8878461122512817,"[{'text': 'Александра Фёдоровна.', 'idx': 18}, {'text': 'Александра.', 'idx': 20}]","['Александра Фёдоровна.', 'Александра.']","[18, 20]"
"Кто остался с Александрой Фёдоровной, когда та начала слепнуть?","Тут ещё Александра Фёдоровна стала слепнуть, и разбежались все, осталась только Оленька, придёт вечером, уберется, сварит что-нибудь. Александру Фёдоровну отпустит немного, глаза засверкают, румянец появится на щечках, планы пойдут: «Мы сделаем новый журнал, мы найдем новые деньги, мы убедим спонсоров». Александра Фёдоровна и сама за поэтами бегала, одного из ментовки вытащила, второго — из психушки, третьего — из запоя. Пока журнал издавался — роились рядом, а тут ни звоночка. Оленька головой покачает, еще газеты местные ей попересказывает и пойдёт к себе домой поэтов обзванивать, чтобы они в гости к ней пришли, но куда уж им. Или еще лежишь в постели, утром глаза откроешь и думаешь: «Это уже все или еще темно». За десять лет она издала еще тридцать номеров журнала и двести книжек авторов, распродала крохи.",Оленька.,23,True,0.9032726287841797,"[{'text': 'Оленька.', 'idx': 23}, {'text': 'Оля.', 'idx': 26}]","['Оленька.', 'Оля.']","[23, 26]"
Что стало со зрением Александры Фёдоровны?,"Или еще лежишь в постели, утром глаза откроешь и думаешь: «Это уже все или еще темно». Пока журнал издавался — роились рядом, а тут ни звоночка. Тут ещё Александра Фёдоровна стала слепнуть, и разбежались все, осталась только Оленька, придёт вечером, уберется, сварит что-нибудь. Александру Фёдоровну отпустит немного, глаза засверкают, румянец появится на щечках, планы пойдут: «Мы сделаем новый журнал, мы найдем новые деньги, мы убедим спонсоров». Бывало со слуха уловишь хорошего поэта, тексты у него потребуешь, а прочитать не можешь. За десять лет она издала еще тридцать номеров журнала и двести книжек авторов, распродала крохи. Под это дело и разбежались все.",Александра Фёдоровна прозрела.,30,False,0.6357361078262329,"[{'text': 'Зрение у Александры Фёдоровны становилось всё хуже и хуже.', 'idx': 27}, {'text': 'Зрение стало Александры Фёдоровны стало ухудшаться.', 'idx': 29}]","['Зрение у Александры Фёдоровны становилось всё хуже и хуже.', 'Зрение стало Александры Фёдоровны стало ухудшаться.']","[27, 29]"
Насколько успешен был первый номер журнала?,"Разошлось в основном приложение, журнал не брали. Первый номер провалился, да и второй тоже, если бы не расписание автобусных рейсов и пригородных электричек в приложении, которые анонсировало местное телевидение. Пока журнал издавался — роились рядом, а тут ни звоночка. А потом в суде запретили журнал, потому что не оформила ничего, а название совпадало с другим, официально зарегистрированным изданием. За десять лет она издала еще тридцать номеров журнала и двести книжек авторов, распродала крохи. Он был бедовый, без ISBN, в библиотеки не рассылался, но в Брянске его «неподцензурные» только и знали и несли свое щебетание не в Союз писателей России, а к ней. Бывало со слуха уловишь хорошего поэта, тексты у него потребуешь, а прочитать не можешь.",Первый номер провалился.,36,True,0.6407095193862915,"[{'text': 'Первый номер не раскупили.', 'idx': 33}, {'text': 'Первый номер провалился.', 'idx': 36}]","['Первый номер не раскупили.', 'Первый номер провалился.']","[33, 36]"
Что произошло с отцом мальчика?,"Это самое главное в жизни. Вадиму приятно это слышать: ему хочется быть похожим на отца. Старые знакомые часто говорят матери: − Дима стал очень похож на отца. Сам он был спокоен, говорил шутливо: − Я же с немцами третий раз встречаюсь. Прощаясь с Вадимом, отец сказал: − Главное − крепко верить, сынок. Они стояли вокруг отца шумной, тесной толпой, говорили, перебивая друг друга, тёплые прощальные слова, а завуч, седенькая старушка в очках, даже всплакнула, и отцу пришлось утешать её. Глаза у отца были тёмно-синие, а на фотографии они совсем чёрные, южные, очень живые.",Бросил семью.,37,False,0.3545737862586975,"[{'text': 'Призван на фронт, где и погиб.', 'idx': 40}, {'text': 'Ушел на фронт и погиб там.', 'idx': 41}]","['Призван на фронт, где и погиб.', 'Ушел на фронт и погиб там.']","[40, 41]"
Кем работал Петр Андреевич?,"Вылитый Пётр Андреевич! Сам он был спокоен, говорил шутливо: − Я же с немцами третий раз встречаюсь. А Вера Фадеевна, улыбаясь грустно и сдержанно, отвечает: − Да, много общего есть… Прощаясь с Вадимом, отец сказал: − Главное − крепко верить, сынок. Последние пятнадцать лет он работал директором школы. И, сильно, по-мужски, сжав руку Вадима, добавил вполголоса: − Мать береги! Вадиму приятно это слышать: ему хочется быть похожим на отца.",Петр Андреевич работал врачом.,46,False,0.5444656014442444,"[{'text': 'Петр Андреевич был учителем, работал директором школы.', 'idx': 43}, {'text': 'По специальности Петр Андреевич был учителем,а работал директором школы.', 'idx': 44}]","['Петр Андреевич был учителем, работал директором школы.', 'По специальности Петр Андреевич был учителем,а работал директором школы.']","[43, 44]"
